DATE,Monthly Mean Total Sunspot Number
1749-01-31,96.7
1749-02-28,104.3
1749-03-31,116.7
1749-04-30,92.8
1749-05-31,141.7
1749-06-30,139.2
1749-07-31,158
1749-08-31,110.5
1749-09-30,126.5
1749-10-31,125.8
1749-11-30,264.3
1749-12-31,142
1750-01-31,122.2
1750-02-28,126.5
1750-03-31,148.7
1750-04-30,147.2
1750-05-31,150
1750-06-30,166.7
1750-07-31,142.3
1750-08-31,171.7
1750-09-30,152
1750-10-31,109.5
1750-11-30,105.5
1750-12-31,125.7
1751-01-31,116.7
1751-02-28,72.5
1751-03-31,75.5
1751-04-30,94
1751-05-31,101.2
1751-06-30,84.5
1751-07-31,110.5
1751-08-31,99.7
1751-09-30,39.2
1751-10-31,38.7
1751-11-30,47.5
1751-12-31,73.3
1752-01-31,58.3
1752-02-29,83.3
1752-03-31,118.3
1752-04-30,98.8
1752-05-31,99.5
1752-06-30,66
1752-07-31,130.7
1752-08-31,48.8
1752-09-30,45.2
1752-10-31,77.7
1752-11-30,62.7
1752-12-31,66.7
1753-01-31,73.3
1753-02-28,53.3
1753-03-31,76.2
1753-04-30,63.3
1753-05-31,60
1753-06-30,52.8
1753-07-31,36.7
1753-08-31,65
1753-09-30,46.7
1753-10-31,41.7
1753-11-30,33.3
1753-12-31,11.2
1754-01-31,0
1754-02-28,5
1754-03-31,2.8
1754-04-30,22.8
1754-05-31,34.5
1754-06-30,44.5
1754-07-31,31.3
1754-08-31,20.5
1754-09-30,13.7
1754-10-31,40.2
1754-11-30,22
1754-12-31,7
1755-01-31,17
1755-02-28,18.7
1755-03-31,11.3
1755-04-30,10.8
1755-05-31,0
1755-06-30,0
1755-07-31,14.3
1755-08-31,5.3
1755-09-30,29.7
1755-10-31,39.5
1755-11-30,11.3
1755-12-31,33.3
1756-01-31,20.8
1756-02-29,11.8
1756-03-31,9
1756-04-30,15.7
1756-05-31,20.8
1756-06-30,21.5
1756-07-31,6
1756-08-31,10.7
1756-09-30,19.7
1756-10-31,23.8
1756-11-30,28.3
1756-12-31,15.7
1757-01-31,23.5
1757-02-28,35.3
1757-03-31,43.7
1757-04-30,50
1757-05-31,63.5
1757-06-30,21.3
1757-07-31,41.7
1757-08-31,85.5
1757-09-30,66.2
1757-10-31,54.2
1757-11-30,107.8
1757-12-31,55.8
1758-01-31,62.7
1758-02-28,86.7
1758-03-31,81.7
1758-04-30,120.5
1758-05-31,77.3
1758-06-30,75
1758-07-31,73.3
1758-08-31,64.5
1758-09-30,104.2
1758-10-31,62.8
1758-11-30,71.7
1758-12-31,71.7
1759-01-31,80.5
1759-02-28,73.3
1759-03-31,78
1759-04-30,78.3
1759-05-31,81.7
1759-06-30,83.3
1759-07-31,85
1759-08-31,118.8
1759-09-30,128.7
1759-10-31,99.5
1759-11-30,77.2
1759-12-31,95
1760-01-31,112.2
1760-02-29,99.2
1760-03-31,124.5
1760-04-30,97.2
1760-05-31,120
1760-06-30,80.5
1760-07-31,110
1760-08-31,126
1760-09-30,102.2
1760-10-31,84.3
1760-11-30,99.5
1760-12-31,101.7
1761-01-31,116.7
1761-02-28,151.7
1761-03-31,134.5
1761-04-30,119.5
1761-05-31,178.7
1761-06-30,165.5
1761-07-31,156.8
1761-08-31,151.8
1761-09-30,167.8
1761-10-31,147.8
1761-11-30,149.5
1761-12-31,76.7
1762-01-31,73
1762-02-28,121.3
1762-03-31,76.2
1762-04-30,100.3
1762-05-31,66.5
1762-06-30,128.5
1762-07-31,56.3
1762-08-31,112.8
1762-09-30,114.2
1762-10-31,115.5
1762-11-30,129.7
1762-12-31,128.7
1763-01-31,94.2
1763-02-28,53.2
1763-03-31,57
1763-04-30,54.8
1763-05-31,54.5
1763-06-30,59.7
1763-07-31,90.3
1763-08-31,44.2
1763-09-30,113.5
1763-10-31,77.2
1763-11-30,101.5
1763-12-31,102.3
1764-01-31,99.5
1764-02-29,99.5
1764-03-31,67
1764-04-30,57.3
1764-05-31,73.8
1764-06-30,50
1764-07-31,50
1764-08-31,50
1764-09-30,47
1764-10-31,46.7
1764-11-30,43.3
1764-12-31,42.8
1765-01-31,40
1765-02-28,43.3
1765-03-31,41.7
1765-04-30,36.7
1765-05-31,33.7
1765-06-30,33.3
1765-07-31,45
1765-08-31,49.5
1765-09-30,26.7
1765-10-31,23.3
1765-11-30,23.3
1765-12-31,21.7
1766-01-31,20
1766-02-28,18.3
1766-03-31,61
1766-04-30,10
1766-05-31,44.7
1766-06-30,5
1766-07-31,5.5
1766-08-31,6.7
1766-09-30,7.2
1766-10-31,8.3
1766-11-30,9.5
1766-12-31,32
1767-01-31,45.7
1767-02-28,50
1767-03-31,71.7
1767-04-30,54.8
1767-05-31,49.7
1767-06-30,55.5
1767-07-31,36.5
1767-08-31,68
1767-09-30,71.2
1767-10-31,73.5
1767-11-30,91.2
1767-12-31,88.8
1768-01-31,89.2
1768-02-29,110.2
1768-03-31,77.2
1768-04-30,71.2
1768-05-31,129.5
1768-06-30,129
1768-07-31,87.7
1768-08-31,111.3
1768-09-30,124.7
